Category,Clean_Resume,Common Skills
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,bitcoin ethereum solidity hyperledger beginner go beginner r3 corda beginner tendermint nodejs c programming java machine learning specilaized brain computer interface computer networking server admin computer vision data analytics cloud computing reactjs angulareducation bachelor engineering computer science engineering thakur engineering technology september march dynamic blood bank system mumbai iit cbse senior secondary cbse banking vidyashram public blockchain developer blockchain developer zhypility technology networking data analytics computer vision java machine learning zhypility technology une area business owner amway enterprise limited business strategizing promotion analytics networking term virtual developing prototype smart india hackthon deployment level networking switch intern bharti airtel private limited mumbai international research scholar university rome tor vergata rome nov nov done research reality based brain computer interface proposed paper international journal advanced research ijar epted paper reviewer smart kisan revolutionizing country ijsrd epted publication reliance jio mumbai dec jan maharastra state government hackthon virtual handling group intern marketing sale team nearby promote social medium platform nearby product promotion stock marketing drum food international data science web analytics positron internet virtual making people aware woman equality right raise voice violence various mode event source medium help society iit bombay iit kgp startup iit bombay iit kgp startup,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,software language c c java operating system window xp ubuntu rdbms oracle sql database sql postgresql markup scripting html javascript php cs jquery angular j framework strut hibernate spring mvc web server tomcat glassfish web rest soap training duration united telecommunication limited jharnet place networking requirement elementary configuration router switch ip mac addressing lease line osi layer routing protocol status network designer high government woman institution blockchain engineer blockchain engineer auxledger java cs html javascript c auxledger worked lot product blockchain bitcoin build wallet explorer bitcoin ethereum build wallet explorer ethereum blockchain customize product ethereum inventory system build smart contract solidity deployed java byte code ethereum well written api java spring build called api audit logger audit logger otc exchange keep transaction record blockchain doc safe ethereum build ethereum application keep document safe blockchain document encrypted form server litecoin ripple exchange otc p2p hyperledger continue worked usa team blockchain ethereum designed product ethereum blockchain setup private ethereum bitcoin blockchain worked loyalty program system system ethereum network erp system crm real estate lavisa infrastructure bangalore sep oct software developer erp system crm real estate news portal demand product development client side requirement like dynamic website content management system designed backend content website manageable admin panel news portal news portal content hindi language html cs javascript jdbc mysql data base birthday reminder small web application birthday reminder html cs javascript jdbc mysql db car parking system web application management car parking system html cs javascript jdbc mysql db portal management inside united telecom limited nov sep web developer portal management inside onsite different different district management kind government like adhar card birth certificate pan card tracker etc technology technology blockchain bitcoin ethereum ripple hyperledger block chain private setup blockchain node building smart contract solidity language smart contract api java spring dapp building node j react j express j,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,strong c fundamental problem solving ethereum smart contract solidity golang node angular react culturally fit startup environment mongodb postgresql mysql enthusiastic learn new technology aws docker microservices blockchain protocol consensuseducation tech computer engineering jaipur rajasthan malaviya national institute technology jaipur computer science engg kolhapur shivaji university blockchain engineer blockchain engineer xinfin orgnization mongodb contract mysql aws problem solving xinfin orgnization xinfin open source hybrid blockchain protocol rolled multiple blockchain based pilot different use case various client eg tradefinex supply chain management land registry govt mh infactor invoice factoring build secure scalable hosted wallet based erc standard xinfin network working production level blockchain use case technology ethereum blockchain solidity smart contract dapps nodejs oro wealth orowealth zero commision online investment platform currently focused direct mutual fund build various scalable web based product b2b b2c based mean stack technology integrated multiple finance application entity eg integration kyc mf entity technology node j angular j mongodb express yallaspree hyderabad telangana yallaspree largest digital shopping directory u 22k store responsibility develop maintain following module admin vendor interface database operation writing webservices complete notification system event offer page technology cakephp php framework jquery mysql railtiffin com mumbai railtiffin com commerce platform serve food railway passenger worked multiple role like bug fixing db operation feature customisation writing api endpoint technology opencart ecommerce framework jquery mysql olite software india private limited bengaluru ka olite headquartered dallas usa office india worked birst analytics tool develop deploy maintain report,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,blockchain innovator ethereum platform certification including certified blockchain developer focusing development secure decentralized solution ethereum dapp development smart contract,"Ethereum, DApp Development, Smart Contracts"
Blockchain,hobby playing chess solving rubik cube watching series language english hindi marathi bachelor degree information technology first class pune jspm jayawantrao sawant engineering information technology first class k k wagh polytechnic ssc first class new era english blockchain developer blockchain developer corpcloud blockchain smart contract dapps mean stack corpcloud worked productively team identify requirement proposed idea enhancing product developing managing user blockchain ount wallet transaction regularly monitoring smooth execution blockchain transaction wallet function along identifying correcting possible error writing smart contract api documenting corpcloud identifying complex bug system resolving implemented updated application module direction senior effectively coded required change alteration checked repository using bit bucket performed code check in check out regularly worked api,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,key programing language c c python apex visualforce database mysql framework django technology salesforce com administration development force com salesforce crm blockchain website designing html5 css3 name vanet virtual ad hoc network technology java system made video streaming give real time video steaming two device using vanet ap degree name drowsiness detection system technology python raspberry pi system made driver safety parson driving car detects drowsy condition parson system brings alarm computer engineering pune sanghavi engineering computer technology shree mahavir polytechnic c c meri high blockchain developer ap apex c crm customer relationship management job managing mining firm creating smart contract wave ethereum platform,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,software language c c java operating system window xp ubuntu rdbms oracle sql database sql postgresql markup scripting html javascript php cs jquery angular j framework strut hibernate spring mvc web server tomcat glassfish web rest soap training duration united telecommunication limited jharnet place networking requirement elementary configuration router switch ip mac addressing lease line osi layer routing protocol status network designer high government woman institution blockchain engineer blockchain engineer auxledger java cs html javascript c auxledger worked lot product blockchain bitcoin build wallet explorer bitcoin ethereum build wallet explorer ethereum blockchain customize product ethereum inventory system build smart contract solidity deployed java byte code ethereum well written api java spring build called api audit logger audit logger otc exchange keep transaction record blockchain doc safe ethereum build ethereum application keep document safe blockchain document encrypted form server litecoin ripple exchange otc p2p hyperledger continue worked usa team blockchain ethereum designed product ethereum blockchain setup private ethereum bitcoin blockchain worked loyalty program system system ethereum network erp system crm real estate lavisa infrastructure bangalore sep oct software developer erp system crm real estate news portal demand product development client side requirement like dynamic website content management system designed backend content website manageable admin panel news portal news portal content hindi language html cs javascript jdbc mysql data base birthday reminder small web application birthday reminder html cs javascript jdbc mysql db car parking system web application management car parking system html cs javascript jdbc mysql db portal management inside united telecom limited nov sep web developer portal management inside onsite different different district management kind government like adhar card birth certificate pan card tracker etc technology technology blockchain bitcoin ethereum ripple hyperledger block chain private setup blockchain node building smart contract solidity language smart contract api java spring dapp building node j react j express j,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,strong c fundamental problem solving ethereum smart contract solidity golang node angular react culturally fit startup environment mongodb postgresql mysql enthusiastic learn new technology aws docker microservices blockchain protocol consensuseducation tech computer engineering jaipur rajasthan malaviya national institute technology jaipur computer science engg kolhapur shivaji university blockchain engineer blockchain engineer xinfin orgnization mongodb contract mysql aws problem solving xinfin orgnization xinfin open source hybrid blockchain protocol rolled multiple blockchain based pilot different use case various client eg tradefinex supply chain management land registry govt mh infactor invoice factoring build secure scalable hosted wallet based erc standard xinfin network working production level blockchain use case technology ethereum blockchain solidity smart contract dapps nodejs oro wealth orowealth zero commision online investment platform currently focused direct mutual fund build various scalable web based product b2b b2c based mean stack technology integrated multiple finance application entity eg integration kyc mf entity technology node j angular j mongodb express yallaspree hyderabad telangana yallaspree largest digital shopping directory u 22k store responsibility develop maintain following module admin vendor interface database operation writing webservices complete notification system event offer page technology cakephp php framework jquery mysql railtiffin com mumbai railtiffin com commerce platform serve food railway passenger worked multiple role like bug fixing db operation feature customisation writing api endpoint technology opencart ecommerce framework jquery mysql olite software india private limited bengaluru ka olite headquartered dallas usa office india worked birst analytics tool develop deploy maintain report,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,software language c c java operating system window xp ubuntu rdbms oracle sql database sql postgresql markup scripting html javascript php cs jquery angular j framework strut hibernate spring mvc web server tomcat glassfish web rest soap training duration united telecommunication limited jharnet place networking requirement elementary configuration router switch ip mac addressing lease line osi layer routing protocol status network designer high government woman institution blockchain engineer blockchain engineer auxledger java cs html javascript c auxledger worked lot product blockchain bitcoin build wallet explorer bitcoin ethereum build wallet explorer ethereum blockchain customize product ethereum inventory system build smart contract solidity deployed java byte code ethereum well written api java spring build called api audit logger audit logger otc exchange keep transaction record blockchain doc safe ethereum build ethereum application keep document safe blockchain document encrypted form server litecoin ripple exchange otc p2p hyperledger continue worked usa team blockchain ethereum designed product ethereum blockchain setup private ethereum bitcoin blockchain worked loyalty program system system ethereum network erp system crm real estate lavisa infrastructure bangalore sep oct software developer erp system crm real estate news portal demand product development client side requirement like dynamic website content management system designed backend content website manageable admin panel news portal news portal content hindi language html cs javascript jdbc mysql data base birthday reminder small web application birthday reminder html cs javascript jdbc mysql db car parking system web application management car parking system html cs javascript jdbc mysql db portal management inside united telecom limited nov sep web developer portal management inside onsite different different district management kind government like adhar card birth certificate pan card tracker etc technology technology blockchain bitcoin ethereum ripple hyperledger block chain private setup blockchain node building smart contract solidity language smart contract api java spring dapp building node j react j express j,ethereum smart contracts cryptography solidity dapp development hyperledger fabric consensus algorithms node.js corda blockchain system design truffle ganache blockchain api ripple litecoin bitcoin blockchain security key management defi nfts
Blockchain,blockchain excels decentralized application dapps certified ethereum blockchain developer certification emphasis blockchain technology potential innovation blockchain technology cryptography smart contract,"Blockchain Technology, Cryptography, Smart Contracts"
