Category,Clean_Resume,Common Skills
Data Science,programming language python panda numpy scipy scikit learn matplotlib sql java javascript jquery machine learning regression svm na bayes knn random forest decision tree boosting technique cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch d3 j dc j plotly kibana matplotlib ggplot tableau others regular expression html cs angular logstash kafka python flask git docker computer vision open cv understanding deep learning data science assurance associate data science assurance associate ernst young llp javascript jquery python ernst young llp description fraud investigation dispute service assurance assisted review tar assisted review assist elerating review process run analytics generate report core member team helped developing automated review platform tool scratch assisting e discovery domain tool implement predictive coding topic modelling automating review resulting reduced labor cost time spent lawyer review understand flow solution research development classification model predictive analysis mining information present text data worked analyzing output precision monitoring entire tool tar assist predictive coding topic modelling evidence following ey standard developed classifier model order identify red flag fraud related issue tool python scikit learn tfidf word2vec doc2vec cosine similarity na bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic usa client text analytics motor vehicle customer review data received customer feedback survey data past one performed sentiment positive negative neutral time series analysis customer comment across category created heat map term survey category based frequency word extracted positive negative word across survey category plotted word cloud created customized tableau dashboard effective reporting visualization chatbot developed friendly chatbot one product handle simple question hour operation reservation option chat bot serf entire product related question giving overview tool via qa platform also give recommendation response question chain relevant answer intelligence pipeline question per requirement asks relevant recommended question tool python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikit learn javascript jquery sqlserver information governance organization make informed decision information store integrated information governance portfolio synthesizes intelligence across unstructured data source facilitates action ensure organization best positioned counter information risk scan data multiple source format parse different file format extract meta data information push result indexing elastic created customized interactive dashboard kibana preforming rot analysis data give information data help identify content either redundant outdated trivial preforming full text analysis elastic predefined method tag pii personally identifiable information social security number address name etc frequently targeted cyber attack tool python flask elastic kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics various erp system used client interrogate ounting system identifying anomaly indicator fraud running advanced analytics tool html javascript sqlserver jquery cs bootstrap node j d3 j dc j,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,may may e uit rgpv data scientist data scientist matelabs python statsmodels aws machine learning sklearn scipy kera matelabs description ml platform business professional dummy enthusiast koramangala 5th block achievement task behind sukh sagar bengaluru india developed deployed auto preprocessing step machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedin com aditya rathore b4600b146 reasearch deployed time series forecasting model arima sarimax holt winter prophet worked meta feature extracting problem github com rathorology implemented state art research paper outlier detection mixed attribute matelabs description,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,area interest deep learning control system design programming python electric machinery web development analytics activity q hindustan aeronautics limited bangalore week guidance mr satish senior engineer hangar mirage fighter aircraft programming matlab python java labview python webframework django flask ltspice intermediate language mipower intermediate github gitbash jupyter notebook xampp mysql basic python software package interpreter anaconda python2 python3 pycharm java ide eclipse operating system window ubuntu debian kali linux tech electrical electronics manipal institute deeksha center little flower public august manipal academy higher data science data science electrical enthusiast data analysis excel machine learning mathematics python matlab electrical sql themathcompany description currently working casino based operator name disclosed macau need segment customer visit property based value patron bring basically prove segmentation done much better way current system proper number back henceforth implement target marketing strategy attract customer add value business,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,r python sap hana tableau sap hana sql sap hana pal m sql sap lumira c linear programming data modelling advance analytics scm analytics retail analytics social medium analytics nlp pgdm business analytics great lake institute management illinois institute bachelor electronics communication bengaluru karnataka new horizon bangalore visvesvaraya technological university data science deloitte usi linear programming retail retail marketing scm sql deep learning machine learning python r deloitte usi description involved analysing historic deal coming insight optimize future deal role given raw data analysis presented insight client extract data client system across geography understand report tableau infer meaningful insight optimize price process blockade r tableau cross service area cross product name handwriting recognition involved taking handwritten image converting digital text image object detection sentence creation role developing sentence correction functionality gather data large enough capture english word train lstm model word python finance service area financial service bi development name swift develop analytics infrastructure top sap would view financial report respective department reporting also included forecasting expense role leading offshore team design develop data model reporting develop etl data flow validate various report sap hana tableau sap ao healthcare analytics service area life science product development name clinical healthcare system develop analytics infrastructure top argus would allow query faster provide advance analytics capability role involved design deploy phase performed lot data restructuring built model insight design develop data model reporting develop deploy analytical model validate various report data modelling sap hana tableau nlp fmcg service area trade promotion name consumption based planning flower food involved setting crm cbp module role involved data decomposition activity setting base future forecast course developed various model performance improvement design develop hana model decomposition develop data flow forecast developed various view reporting customer sale fund validate various report bobj data modelling sap hana bobj time series forecasting internal initiative fmcg customer segmentation rfm analysis initiative involved setting hana python interface advance analytics python course su essfully segmented data five core segment k mean rfm analysis python also developed algorithm categorize new customer defined bucket anaconda3 python3 hana sps12 telecom invoice state detection initiative reduce manual effort verifying closed open invoice manually involved development decision tree classify open closed invoice enabled effort reduction r sap pal sap hana sps12 enture analytics cross process analytics sap senior developer enture solution india involved development sap analytics tool process analytics ipa role develop database object data model provide operational insight client role developed various finance related kpis spearheaded various deployment introduced sap predictive analytics reduce development time reuse functionality kpis prepared production planning report involved information gather phase designed implemented sap hana data modelling attribute view analytic view calculation view developed various kpi individually complex sql script calculation view created procedure hana database took ownership developed dashboard functionality involved building data processing algorithm executed r server cluster analysis r sap hana sql cross enture testing elerator sap database developer enture solution india role taken care development activity atas tool also completed various deployment product apart activity also actively involved maintenance database server production quality analyzing business requirement understanding scope getting requirement clarified interacting business transform requirement generate attribute mapping document reviewing mapping specification documentation create update database object like table view stored procedure function package monitored sql server error log application log sql server agent prepared data flow diagram entity relationship diagram uml responsible designing developing normalization database table performance tuning sql profiler involved qa uat transfer support activity sql server visual studio window server performance monitor sql server profiler c pl sql sql,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,mca ymcaust faridabad haryana data science internship data structure c data analysis python core java database management itechpower description,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,c basic iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place tech august may tech ghatkesar andhra aurora scientific technological institute june may secondary warangal telangana sr junior data science m office c machine learning data science matlab description,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,python tableau data visualization r studio machine learning statistic iabac certified data scientist versatile managing business data science consulting leading innovation bringing business idea working real world solution strong advocator augmented era human capability enhanced machine fahed passionate bringing business concept area machine learning ai robotics etc real life solution tech computer science mohali punjab indo global data science data science datamites machine learning python solution data science data visualization tableau datamites description analyzed processed complex data set advanced querying visualization analytics tool responsible loading extracting validation client data worked manipulating cleaning processing data python used tableau data visualization heretic solution description worked closely business identify issue used data propose solution effective decision making manipulating cleansing processing data python excel r analyzed raw data drawing conclusion developing recommendation used machine learning tool statistical technique produce solution problem,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,tech rayat bahra institute biotechnology data science data science numpy machine learning tensorflow scikit python gcp panda neural network description bhawana aggarwal e mail bhawana chd phone vversatile high energy professional targeting challenging assignment machine profile summary professional machine learning deep learning data science python software development skilled managing development software product inception requirement spec planning designing implementation configuration documentation python machine learning deep learning data science algorithm neural network nlp gcp python library like numpy panda seaborn matplotlib cufflink different algorithm machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural network unsupervised supervised reinforcement data programming relational platform like mysql oracle programming language like c java cloud based like google cloud working different operating system like linux ubuntu window good interpersonal communication problem solving laterally medium term long term perspective flexibility open attitude change create define framework strong emphasis code reusability programming language python c library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean clustering tensorflow svm database sql oracle operating system linux window development netbeans notebook sublime ticketing tool service remedy ug tech computer science rayat bahra institute biotechnology passed schooling xii moti ram arya sr secondary passed x valley public passed cgpa work experince title neural intelligence platform team size brief neural intelligence platform harness automation artificial intelligence natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily es manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time entailed automating response query earliest monster bot deep machine learning nlp handle query see query answered quickly like alll1 activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu api machine learning tensor flow learning new entity classifier involves classification class training dataset predicting output sklearn classifier mnb svm sgd classifier sgd optimization map query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role organization extracted raw text rnn lstm bidirectional model trained extracting entity kera tensorflow framework title diabetes detection brief developed software detect whether person suffering diabetes got third prize training ce ifications title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile father name mr tirlok aggarwal language known english hindi marital status single date birth gender yyyy mm dd f description developing program python description title neural intelligence platform team size brief neural intelligence platform harness automation artificial intelligence natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily es manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time entailed automating response query earliest monster bot deep machine learning nlp handle query see query answered quickly like alll1 activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu api machine learning tensor flow learning new entity classifier involves classification class training dataset predicting output sklearn classifier mnb svm sgd classifier sgd optimization map query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role organization extracted raw text rnn lstm bidirectional model trained extracting entity kera tensorflow framework description professional machine learning deep learning data science python software development skilled managing development software product inception requirement spec planning designing implementation configuration documentation python machine learning deep learning data science algorithm neural network nlp gcp python library like numpy panda seaborn matplotlib cufflink different algorithm machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural network unsupervised supervised reinforcement data programming relational platform like mysql oracle programming language like c java cloud based like google cloud working different operating system like linux ubuntu window good interpersonal communication problem solving laterally medium term long term perspective flexibility open attitude change create define framework strong emphasis code reusability,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,personal quickly grasp aspect willingness learn high energy level result oriented master computer application truba institute information e computer science rkdf institute science polytechnic information vidisha sati vidisha tech thesis bmch ganj basoda data science six data science machine learning deep leaning nlp python sql web scraping good computer subject update machine learning deep learning nlp python sql web crawling html cs rnt ai solution description text classification machine learning algorithm python practical deep learning algorithm recurrent neural network rnn develop custom data model algorithm apply dataset python package like panda scikit learn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis apply leave dataset classification technique like tf idf lsa cosine similarity machine learning algorithm web crawling selenium web driver beautiful soup python life insurance corporation india description explaining policy feature benefit updated life insurance product shared customer,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
Data Science,expertise data quantitative analysis decision analytics predictive modeling data driven personalization kpi dashboard big data query interpretation data mining visualization tool machine learning algorithm business intelligence bi research report forecast pgp data science mumbai data science business e electronics communication electronics communication indore y ip academy data scientist data scientist pr canada algorithm bi business intelligence machine learning visualization spark python tableau data analysis data science business description mostly working providing solution along teaching appointment teach undergraduate graduate level course spark machine learning adjunct faculty member data science mumbai present data business description data science intern nov jan furnish executive leadership team insight analytics report recommendation enabling effective strategic planning across business unit distribution channel product line chat bot aws lex tensor flow python goal creates chat bot academic institution university handle query related course offered institute objective task reduce human effort well reduce man made error even handle client 24x7 case academic institution client participant student web scraping selenium web driver python task scrap data online messaging portal text format pattern form data visualization data insight hadoop eco system hive pyspark qliksense goal business solution internet service provider like handling data generated per day basis visualize data usage pattern form generate report image based fraud detection microsoft face api pyspark open cv main goal recognize similarity face given database image face recognition recognizing special face set different face face extracted compared database image image recognized person already applied loan somewhere else hiding identity going prevent fraud initial stage churn analysis internet service provider r python machine learning hadoop objective identify customer likely churn given period time pretend customer giving incentive offer sentiment analysis python nlp apache spark service ibm bluemix highly emphasis tweet twitter data taken mobile network service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotion tweet comparative analysis quantifiable result mentored data science enthusiast since gone graduate data science business analytics reviewed evaluated research paper data science one largest data science conference called data science congress business mumbai heading solution providing organization called data science delivered data science mumbai managed live data science technique working social cause help data science social good committee team developed product called let missing child helping society ibm india description mostly worked blumix ibm watson data science,python r machine learning deep learning statistical analysis pandas numpy data visualization matplotlib seaborn sql nosql spark hadoop pyspark ensemble models pca t-sne airflow keras tensorflow time series predictive analysis a/b testing
